Province,Total,Last_24h,Death
Hà Nội,1.642.679,+275,1.232
Tp. Hồ Chí Minh,628.388,+96,19.985
Hải Phòng,537.053,+57,138
Nghệ An,501.445,+66,145
Bắc Giang,391.384,+20,92
Vĩnh Phúc,375.418,+39,19
Hải Dương,372.146,+50,117
Quảng Ninh,356.116,+33,150
Bắc Ninh,353.691,-,136
Thái Nguyên,346.972,+116,112
Phú Thọ,330.992,+80,97
Bình Dương,325.199,+53,3.519
Nam Định,300.981,+28,150
Thái Bình,296.720,+6,23
Hưng Yên,243.943,+12,5
Hòa Bình,239.853,+18,102
Lào Cai,188.491,+30,38
Thanh Hóa,177.612,+118,109
Đắk Lắk,172.439,-,201
Lạng Sơn,160.752,-,85
Yên Bái,157.429,+63,13
Sơn La,153.357,+5,0
Cà Mau,147.574,+14,357
Tuyên Quang,147.291,+31,14
Tây Ninh,140.248,+36,943
Bình Định,139.474,+29,281
Quảng Bình,129.258,+30,74
Hà Giang,122.610,-,80
Khánh Hòa,121.589,+113,364
Bình Phước,119.895,+10,224
Bà Rịa - Vũng Tàu,110.570,+20,497
Đà Nẵng,108.420,+55,338
Đồng Nai,107.518,-,1.903
Ninh Bình,104.636,+16,93
Vĩnh Long,103.302,-,829
Bến Tre,99.392,-,488
Cao Bằng,98.730,+21,59
Lâm Đồng,97.595,+92,141
Hà Nam,91.170,+34,65
Điện Biên,90.478,+5,23
Quảng Trị,85.975,+28,38
Cần Thơ,76.852,+15,958
Bắc Kạn,76.813,+23,19
Lai Châu,75.348,+10,0
Trà Vinh,75.129,+4,115
Đắk Nông,73.427,-,47
Gia Lai,70.934,-,116
Hà Tĩnh,54.879,+50,50
Bình Thuận,54.012,-,482
Đồng Tháp,51.474,+4,1.007
Quảng Ngãi,50.379,+18,127
Long An,50.161,+46,1.088
Quảng Nam,49.465,+6,150
Thừa Thiên Huế,48.061,-,173
Bạc Liêu,46.876,+7,470
Phú Yên,44.149,-,137
An Giang,43.163,-,1.325
Kiên Giang,43.105,+39,1.027
Tiền Giang,39.441,+105,1.290
Sóc Trăng,34.448,-,634
Kon Tum,26.319,+5,1
Hậu Giang,17.804,+12,231
Ninh Thuận,8.883,-,60
